Date,Naspers,Standard Bank,FirstRand,Sasol,MTN Group,Anglo American
2022-01-20,52985.515625,14378.40234375,6390.091796875,31281.873046875,16548.20703125,71388.3359375
2022-01-21,51433.515625,14352.4873046875,6328.26611328125,31095.107421875,16534.228515625,69095.5390625
2022-01-24,50079.890625,14056.4677734375,6154.751953125,29283.373046875,15910.0888671875,67352.3515625
2022-01-25,48193.7421875,14210.955078125,6103.89501953125,30362.0234375,16012.9462890625,66362.984375
2022-01-26,48593.69140625,14332.552734375,6156.7470703125,32559.27734375,17108.439453125,69097.4921875
2022-01-27,46914.7109375,14572.7587890625,6171.705078125,33757.77734375,16765.912109375,69607.8671875
2022-01-28,46947.10546875,14881.736328125,6241.50927734375,34247.1640625,17410.0234375,68059.0390625
2022-01-31,49234.8046875,14891.7021484375,6153.75439453125,34448.9140625,19185.576171875,66502.375
2022-02-01,50173.6796875,14950.5078125,6185.66552734375,35221.9453125,19153.62109375,67086.359375
2022-02-02,49593.55859375,15131.908203125,6200.6240234375,35007.21484375,18489.5390625,67796.96875
2022-02-03,48949.2421875,15500.6865234375,6270.42822265625,34004.46875,18705.240234375,67859.796875
2022-02-04,49601.16015625,15324.2705078125,6205.60986328125,34984.2421875,18674.28125,68593.9609375
2022-02-07,49515.56640625,15355.16796875,6238.517578125,34300.1015625,18679.27734375,70109.4140625
2022-02-08,48926.24609375,15477.7626953125,6414.0263671875,34167.265625,18787.125,71182.2109375
2022-02-09,49993.51171875,15339.2216796875,6407.04541015625,33118.578125,18633.337890625,71328.46875
2022-02-10,48698.67578125,15479.7548828125,6382.1142578125,33047.6640625,18759.1640625,72023.3828125
2022-02-11,47949.16796875,15275.431640625,6488.81689453125,32564.271484375,18666.29296875,71995.8828125
2022-02-14,45737.859375,15406.99609375,6360.17724609375,33888.61328125,18718.220703125,71652.375
2022-02-15,45621.87109375,16128.607421875,6636.40185546875,32348.541015625,18542.46484375,70617.84375
2022-02-16,45355.30859375,16434.595703125,6735.12646484375,33838.67578125,18616.36328125,71660.21875
2022-02-17,45291.3125,16196.3857421875,6642.3857421875,33117.578125,18296.802734375,70781.7578125
2022-02-18,44733.18359375,16071.7958984375,6622.44140625,32884.87109375,18246.87109375,71552.2421875
2022-02-21,41139.0546875,15943.2216796875,6571.58349609375,31768.267578125,18248.8671875,71688.671875
2022-02-22,40988.4765625,15812.654296875,6496.7939453125,33562.0234375,17937.296875,72841.953125
2022-02-23,40163.78125,15898.37109375,6577.5673828125,32828.94140625,18507.509765625,71206.7578125
2022-02-24,37922.46875,15745.875,6438.955078125,34237.17578125,18228.896484375,72163.734375
2022-02-25,37691.1015625,15937.240234375,6637.39990234375,33632.93359375,19029.79296875,72862.5625
2022-02-28,38564.19140625,16210.337890625,6593.5234375,35015.203125,19133.650390625,76752.2890625
2022-03-01,38775.5625,16677.7890625,6786.98046875,36865.89453125,19740.8125,79993.25
2022-03-02,37407.7421875,16687.755859375,6731.13623046875,39643.4140625,20779.3828125,79265.9453125
2022-03-03,36678.03515625,16932.947265625,7019.32958984375,37595.9765625,20521.740234375,81418.40625
2022-03-04,32664.154296875,16190.4033203125,6783.9892578125,36869.8828125,19410.26953125,77460.9453125
2022-03-07,32687.75390625,15288.3896484375,6453.9140625,36454.40625,18179.9609375,76459.8046875
2022-03-08,34179.359375,15296.36328125,6312.310546875,36164.765625,18631.34375,75085.6875
2022-03-09,36195.30078125,15636.2373046875,6475.85302734375,34488.86328125,19181.583984375,72155.8671875
2022-03-10,35869.73828125,15875.4443359375,6730.14013671875,35255.90625,19983.478515625,74104.1640625
2022-03-11,35858.73828125,15980.0986328125,6998.38818359375,35346.7890625,20252.107421875,75198.5703125
2022-03-14,31153.75390625,16046.87890625,7172.8984375,33607.96484375,20110.3046875,72317.828125
2022-03-15,29870.12109375,16141.56640625,7081.15576171875,32939.80078125,19685.888671875,70410.7421875
2022-03-16,36121.70703125,17069.4921875,7352.39697265625,33478.12890625,19972.49609375,68855.921875
2022-03-17,35366.40625,17242.919921875,7150.9609375,34858.40234375,20007.447265625,69799.1875
2022-03-18,36895.60546875,17227.970703125,7155.94580078125,35433.68359375,19455.205078125,70576.5625
2022-03-22,37301.35546875,17619.671875,7356.384765625,35633.4296875,19629.96484375,75954.4140625
2022-03-23,33775.61328125,17521.994140625,7353.392578125,36353.53125,19119.671875,74871.7890625
2022-03-24,32466.98046875,17540.927734375,7325.4716796875,37540.046875,19558.06640625,74518.4375
2022-03-25,31970.24609375,17810.04296875,7379.32080078125,36574.25390625,19586.02734375,75563.765625
2022-03-28,31996.443359375,18002.40625,7638.59375,36946.7890625,19651.935546875,73713.5625
2022-03-29,34157.5625,18438.9609375,7753.2734375,34542.79296875,19269.462890625,70980.9609375
2022-03-30,34082.97265625,18239.619140625,7580.29248046875,36205.71875,19155.599609375,73898.0859375
2022-03-31,33278.078125,18153.904296875,7726.91162109375,35455.65625,18976.8203125,75622.65625
2022-04-01,34421.53515625,18258.55859375,7686.017578125,35936.05078125,19307.416015625,76737.6953125
2022-04-04,35816.3515625,18140.947265625,7650.11083984375,35586.48828125,18795.041015625,76823.09375
2022-04-05,35465.39453125,17824.98828125,7426.69140625,35955.03125,17336.82421875,76503.09375
2022-04-06,33216.68359375,17581.8359375,7512.46875,35955.03125,18113.873046875,75823.8671875
2022-04-07,32646.76171875,17374.46875,7286.0576171875,35934.0546875,18206.759765625,75214.34375
2022-04-08,31995.84375,17297.697265625,7244.166015625,37091.60546875,17845.201171875,77768.3046875
2022-04-11,32815.734375,17299.69140625,7261.12255859375,36226.6875,18162.8125,76265.5703125
2022-04-12,31485.109375,17143.1640625,7135.44921875,36512.328125,18065.93359375,75715.8984375
2022-04-13,31239.54296875,16601.8046875,7030.7216796875,36953.78125,17572.537109375,76699.40625
